epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,4110.44,2.61069,1.82772,1.26073,0.35178,0.37054,0.26014,0.06388,2.64543,1.77364,1.25008,0.0012344,0.0012344,0.0012344
60,4181.57,2.56937,1.83543,1.2697,0.35283,0.37716,0.26787,0.06621,2.64478,1.74849,1.2596,0.0012212,0.0012212,0.0012212
61,4250.71,2.59693,1.83794,1.26524,0.35547,0.38095,0.27171,0.06831,2.64325,1.81089,1.26169,0.001208,0.001208,0.001208
62,4318.96,2.59849,1.85714,1.26688,0.32054,0.35438,0.24324,0.06101,2.60982,1.80506,1.24668,0.0011948,0.0011948,0.0011948
63,4384.02,2.58997,1.8411,1.25901,0.36028,0.37243,0.27239,0.06739,2.62845,1.74075,1.2531,0.0011816,0.0011816,0.0011816
64,4455.47,2.59551,1.85151,1.26326,0.35252,0.36605,0.26339,0.06546,2.63582,1.74699,1.25311,0.0011684,0.0011684,0.0011684
65,4522.13,2.58373,1.82823,1.24744,0.34358,0.3867,0.2699,0.06624,2.64075,1.87287,1.25241,0.0011552,0.0011552,0.0011552
66,4590.78,2.59326,1.83489,1.25946,0.35121,0.37196,0.27355,0.06829,2.60643,1.77782,1.24251,0.001142,0.001142,0.001142
67,4664.09,2.57822,1.8166,1.25709,0.36877,0.37919,0.27554,0.06853,2.63135,1.73984,1.25141,0.0011288,0.0011288,0.0011288
68,4729.49,2.58756,1.82969,1.25834,0.33872,0.38663,0.26269,0.06657,2.61898,1.73404,1.24555,0.0011156,0.0011156,0.0011156
69,4792.77,2.56859,1.82677,1.24546,0.36073,0.38663,0.27933,0.06925,2.62335,1.73437,1.2477,0.0011024,0.0011024,0.0011024
70,4859.31,2.58012,1.81871,1.25863,0.36428,0.38859,0.27494,0.06861,2.60856,1.73434,1.24626,0.0010892,0.0010892,0.0010892
71,4924.8,2.57506,1.82496,1.26219,0.3287,0.356,0.25098,0.06319,2.62664,1.77024,1.25896,0.001076,0.001076,0.001076
72,4987.83,2.57111,1.82064,1.25427,0.36757,0.40806,0.29024,0.07162,2.61908,1.72064,1.24498,0.0010628,0.0010628,0.0010628
73,5057.5,2.56778,1.81288,1.2429,0.33063,0.39542,0.26063,0.06403,2.64082,1.76928,1.24859,0.0010496,0.0010496,0.0010496
74,5117.31,2.55573,1.79894,1.25774,0.35698,0.39744,0.28422,0.07115,2.6111,1.7594,1.24547,0.0010364,0.0010364,0.0010364
75,5186.25,2.57308,1.84097,1.26088,0.34358,0.36889,0.26319,0.06609,2.63735,1.76777,1.24733,0.0010232,0.0010232,0.0010232
76,5252.69,2.56139,1.79734,1.25033,0.38557,0.38067,0.29156,0.07293,2.60568,1.72386,1.23926,0.00101,0.00101,0.00101
77,5317.44,2.5824,1.83269,1.26137,0.35797,0.39474,0.27431,0.06855,2.61557,1.74811,1.24197,0.0009968,0.0009968,0.0009968
78,5386.57,2.56784,1.77192,1.23235,0.40833,0.3967,0.3086,0.07586,2.63564,1.69271,1.25788,0.0009836,0.0009836,0.0009836
79,5455.92,2.57358,1.7749,1.25164,0.36074,0.3915,0.2838,0.07018,2.60696,1.72132,1.24163,0.0009704,0.0009704,0.0009704
80,5520.79,2.57335,1.78343,1.24582,0.3821,0.39201,0.28684,0.07042,2.64564,1.71056,1.25502,0.0009572,0.0009572,0.0009572
81,5591.57,2.58149,1.81613,1.25568,0.37396,0.39461,0.2915,0.0727,2.58791,1.73427,1.23076,0.000944,0.000944,0.000944
82,5658.4,2.56862,1.78675,1.24389,0.38686,0.40184,0.29964,0.0743,2.60277,1.70782,1.24139,0.0009308,0.0009308,0.0009308
83,5726.77,2.56271,1.78802,1.24232,0.35876,0.39866,0.27245,0.06759,2.61372,1.7175,1.24618,0.0009176,0.0009176,0.0009176
84,5793.1,2.55019,1.79345,1.25637,0.39789,0.38027,0.2972,0.07476,2.61027,1.70201,1.2475,0.0009044,0.0009044,0.0009044
85,5862.46,2.59,1.77064,1.23261,0.38499,0.36946,0.29225,0.07462,2.59078,1.72452,1.23748,0.0008912,0.0008912,0.0008912
86,5931.37,2.55273,1.7784,1.24647,0.38735,0.41421,0.30244,0.07643,2.5908,1.6868,1.23647,0.000878,0.000878,0.000878
87,5998.03,2.5628,1.7839,1.2336,0.3599,0.37121,0.27221,0.06835,2.61322,1.73214,1.24238,0.0008648,0.0008648,0.0008648
88,6064.45,2.56363,1.76622,1.23326,0.40235,0.39089,0.30813,0.07741,2.5884,1.69097,1.23237,0.0008516,0.0008516,0.0008516
89,6127.75,2.5475,1.76546,1.25118,0.39833,0.41533,0.31646,0.07943,2.5945,1.69147,1.24351,0.0008384,0.0008384,0.0008384
90,6198.65,2.55198,1.77948,1.24418,0.38397,0.39913,0.29858,0.07528,2.59336,1.69417,1.23794,0.0008252,0.0008252,0.0008252
91,6266.12,2.5525,1.78332,1.24114,0.39318,0.38615,0.30232,0.07691,2.59798,1.68071,1.24236,0.000812,0.000812,0.000812
92,6338.33,2.54098,1.76788,1.24235,0.36125,0.39494,0.27963,0.06996,2.59831,1.72086,1.2417,0.0007988,0.0007988,0.0007988
93,6410.93,2.53373,1.7492,1.24185,0.40694,0.41615,0.31643,0.07937,2.59107,1.67895,1.23817,0.0007856,0.0007856,0.0007856
94,6482.23,2.55777,1.77696,1.24535,0.41442,0.40759,0.31962,0.08114,2.59003,1.68841,1.23852,0.0007724,0.0007724,0.0007724
95,6548.51,2.54069,1.7773,1.23963,0.38746,0.3963,0.30062,0.07672,2.58963,1.68273,1.23475,0.0007592,0.0007592,0.0007592
